Date,Open,High,Low,Close,Adj Close,Volume
2004-11-16,61.099998,61.389999,61.009998,61.029999,36.705921,3953700
2004-11-17,60.900002,61.439999,60.750000,60.900002,36.627750,6264900
2004-11-18,60.900002,61.360001,60.849998,61.119999,36.760040,4666700
2004-11-19,61.020000,61.099998,60.389999,60.540001,36.411213,5213900
2004-11-22,60.549999,61.070000,60.549999,60.869999,36.609676,4752300
2004-11-23,60.840000,60.889999,60.279999,60.570000,36.429268,5376000
2004-11-24,60.669998,60.889999,60.400002,60.509998,36.393162,4001300
2004-11-26,60.299999,60.790001,60.290001,60.450001,36.357082,1672900
2004-11-29,60.490002,60.910000,59.900002,60.200001,36.206741,5021800
2004-11-30,60.099998,60.750000,60.000000,60.320000,36.278893,8543200
2004-12-01,60.330002,61.290001,60.220001,61.189999,36.802147,5431500
2004-12-02,60.980000,62.000000,60.900002,61.750000,37.138966,6167000
2004-12-03,61.740002,62.299999,61.509998,61.910000,37.235184,6053700
2004-12-06,61.660000,61.990002,61.660000,61.830002,37.187077,3369400
2004-12-07,61.049999,61.950001,60.349998,60.410000,36.333019,11385900
2004-12-08,60.930000,61.450001,60.799999,61.150002,36.778091,5990700
2004-12-09,61.150002,61.500000,60.750000,61.310001,36.874321,7539100
2004-12-10,61.490002,62.590000,60.250000,60.250000,36.236794,8732900
2004-12-13,60.480000,60.820000,59.599998,60.639999,36.471352,8681000
2004-12-14,60.500000,61.570000,60.330002,61.430000,36.946495,7057700
2004-12-15,61.049999,61.380001,60.619999,60.900002,36.627750,7329000
2004-12-16,61.799999,64.239998,61.549999,63.450001,38.161404,28705900
2004-12-17,62.959999,64.250000,62.950001,63.580002,38.239601,18006800
2004-12-20,63.580002,63.900002,62.919998,63.070000,37.932858,8646100
2004-12-21,63.080002,63.099998,62.619999,62.950001,37.860680,9117100
2004-12-22,62.299999,63.410000,62.299999,63.299999,38.071182,6678000
2004-12-23,63.049999,63.759998,63.049999,63.599998,38.251617,5552700
2004-12-27,63.779999,63.980000,63.529999,63.529999,38.209515,4677700
2004-12-28,63.759998,63.900002,63.599998,63.759998,38.347855,4089000
